trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
693,False,"{'a': 0.85, 'e': 0.03100237440513242}",25,16,13.523265113274704,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
694,False,"{'a': 0.85, 'e': 0.030847362533106756}",25,11,2.511975569401374,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
695,False,"{'a': 0.85, 'e': 0.030693125720441222}",20,15,9.669085898473327,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
696,False,"{'a': 0.85, 'e': 0.030539660091839015}",20,0,25.424706601309015,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
697,False,"{'a': 0.85, 'e': 0.03038696179137982}",20,6,15.231157100370812,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
698,False,"{'a': 0.85, 'e': 0.030235026982422922}",20,14,9.896574107417425,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.85, 'e': 0.030083851847510806}",30,15,25.345787657236652,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
700,False,"{'a': 0.85, 'e': 0.029933432588273252}",25,12,25.232017486270813,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.85, 'e': 0.029783765425331888}",20,14,13.768046868779614,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.85, 'e': 0.029634846598205228}",20,15,8.625432477158274,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
703,False,"{'a': 0.85, 'e': 0.0294866723652142}",20,7,24.505327310427095,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.85, 'e': 0.02933923900338813}",30,18,26.381768687274718,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.85, 'e': 0.029192542808371188}",20,5,15.949185943522865,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
706,False,"{'a': 0.85, 'e': 0.02904658009432933}",20,7,21.55030308204811,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.85, 'e': 0.028901347193857688}",20,5,28.887075031168187,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
708,False,"{'a': 0.85, 'e': 0.028756840457888396}",25,16,18.299731594528023,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
709,False,"{'a': 0.85, 'e': 0.028613056255598956}",20,16,7.4584532589406205,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.85, 'e': 0.02846999097432096}",25,16,5.368047713499183,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
711,False,"{'a': 0.85, 'e': 0.028327641019449356}",30,21,16.329064812675156,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.85, 'e': 0.028186002814352108}",25,8,27.324958474111593,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
713,False,"{'a': 0.85, 'e': 0.028045072800280346}",25,18,14.519062854457353,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.85, 'e': 0.027904847436278947}",25,19,13.471977106438045,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
715,False,"{'a': 0.85, 'e': 0.027765323199097552}",30,10,41.477288291782706,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.85, 'e': 0.027626496583102064}",20,0,-10.4657797384474,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
